sample_id,quality,ground_truth_type,predicted_type,document_type_correct,all_fields_exact,all_fields_normalized,critical_fields_correct,document_correct_normalized,mismatch_fields,review_decision,review_priority,review_reason_codes,anomaly_codes,false_auto_accept,safe_escalation,runtime_seconds
guard_005,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.3011
guard_006,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.4028
guard_007,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.6013
guard_008,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,24.6168
guard_009,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.2347
guard_010,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.37
guard_011,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.1378
guard_012,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,26.0013
guard_013,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,HIGH,FUTURE_ISSUE_DATE,FUTURE_ISSUE_DATE,False,False,24.8846
guard_014,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,HIGH,FUTURE_ISSUE_DATE,FUTURE_ISSUE_DATE,False,False,24.7016
guard_015,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.8679
guard_016,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,25.0884
guard_017,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,26.0854
guard_018,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,24.7917
guard_019,clean,guard_license,guard_license,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,25.7967
guard_020,clean,guard_license,guard_license,True,False,False,True,False,issuer,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,True,25.192
guard_021,clean,guard_license,guard_license,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,DOCUMENT_EXPIRED,DOCUMENT_EXPIRED,False,False,25.4463
id_002,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,31.7536
id_003,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,32.4521
id_004,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,32.6946
id_005,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,31.6216
id_006,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,32.2822
id_007,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,35.4363
id_008,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,49.338
id_009,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,47.2744
id_010,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,44.2726
id_011,clean,id_card,id_card,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,False,False,44.632
id_012,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,43.1048
id_013,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,47.4771
id_014,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,43.2128
id_015,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,42.2565
id_016,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,43.1336
id_017,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,41.7992
id_018,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,42.2285
id_019,clean,id_card,id_card,True,False,False,True,False,issuer,REVIEW_REQUIRED,MEDIUM,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,False,True,42.168
id_020,clean,id_card,id_card,True,True,True,True,True,,REVIEW_REQUIRED,MEDIUM,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE|EXTRACTED_FIELD_INVALID_EVIDENCE,False,False,44.7965
id_021,clean,id_card,id_card,True,True,True,True,True,,AUTO_ACCEPT,NONE,,,False,False,43.8756
